NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Hong Kong,0,0,0,0,0,0,2775,311,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Puerto Rico,0,0,0,0,0,0,1090,54,54,115,21,21,404,47,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14781,15658,14783,0,0,0,3510,990,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Bosnia and Herzegovina,0,0,0,0,0,0,902,1218,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Montenegro,0,0,0,0,0,0,0,0,0,5440,1701,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Slovakia,0,0,0,0,0,0,0,0,0,3160,459,459,17938,10800,10800,0,0,0,3878,1305,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Ukraine,0,0,0,0,0,0,0,0,0,3074,4646,2219,0,0,0,931,865,450,9679,5319,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",China,0,0,0,0,0,0,0,0,0,2458,317,423,472,5,37,613,1000,118,213,108,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32738,6858,6858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Switzerland,0,0,0,0,0,0,0,0,0,2380,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Ireland,0,0,0,0,0,0,0,0,0,1704,180,238,954,107,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Indonesia,0,0,0,0,0,0,0,0,0,1465,258,268,209,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
