NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3723,387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042910,Wine in containers larger than 10 liters,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8649,10000,10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042911,Wines in containers with capacity not over 5 liters,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69821,63732,63732,108864,97965,97965,43200,38875,38875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042911,Wines in containers with capacity not over 5 liters,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59986,44172,44172,43830,26820,26784,116144,69703,69703,114903,60252,64144,89568,45979,48288,219229,77409,53530,112914,75105,47375,15358,14688,4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41003,7617,7650,0,0,0,94962,12960,12960,283114,36682,36658,67959,17100,15190,50394,12404,9698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33286,16830,16830,32307,16335,16335,34602,17496,17496,46136,23328,25272,67060,31176,29161,80740,40824,40824
22042911,Wines in containers with capacity not over 5 liters,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23222,27901,26854,13527,14377,11380,58025,52055,50852,83912,98989,96677,74776,90241,88611,95168,103550,102502,65148,75466,75318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042911,Wines in containers with capacity not over 5 liters,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16902,13586,13590,12990,10674,10431,18303,12534,12542,25998,19147,19024,16804,11868,11868,19022,12131,12131,7415,4707,4707,6554,5862,5554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,480,480,1200,90,90,0,0,0,1258,225,20,0,0,0,1481,161,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,900,900,0,0,0,0,0,0,0,0,0,19384,3321,4050,5336,450,450,40778,15848,8910,10802,5438,2889,9730,4114,2880,54056,77697,76680,4581,1974,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042911,Wines in containers with capacity not over 5 liters,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048,1600,1600,0,0,0,0,0,0,0,0,0,8572,2610,240,0,0,0,7056,537,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,162,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18240,47664,48000,61440,190656,192000,5893291,14795694,14899000,2103968,4528176,4559500,0,0,0,2292162,8373757,8436942,754440,2795740,2812000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042911,Wines in containers with capacity not over 5 liters,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4950,3200,3200,10421,5680,5680,4337,2400,2400,3006,2340,2340,10289,6400,5350,7770,5600,5600,34300,50100,50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,60,60,802,60,60,2404,180,180,0,0,0,0,0,0,27436,24452,16615,1298,1181,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11983,5646,5058,2843,568,537,2530,819,477,1979,956,660,1015,410,492,0,0,0,1417,548,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,360,360,0,0,0,2720,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,450,450,0,0,0,0,0,0,1680,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042919,Wines in containers with capacity over 5 liter,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972080,3744262,3768000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
